potenza [mW]	Corrente [mA]	tensione [mV]	err corr [mA]	err tens  [mV]
0	            155	            -2.25       	0.05	            0.05
0	            165         	-2.3        	0.05	            0.05
1	            175         	-3.15       	0.05	            0.05
1.5	            185         	-13         	0.05	            1
2.5	            195         	-31         	0.05	            2
3	            205         	-32         	0.05	            1
4	            215	            -35	            0.05	            2
5	            225	            -37	            0.05	            2
6	            235	            -48	            0.05	            3
7	            245	            -90	            0.05	            10
8	            255	            -137	        0.05	            3
10	            265	            -170	        0.05	            5
14	            275	            -185	        0.05	            5